Record,Date,UTC Time,inputByte, outputByte, Tank Level
         1, 8/11/2017, 9:44:20,   1,   1,   3.000060E+01
         2, 8/11/2017, 9:44:22,   0,   0,   3.057090E+01
         3, 8/11/2017, 9:44:23,   2,   2,   3.057090E+01
         4, 8/11/2017, 9:44:25,   0,   0,   2.997610E+01
         5, 8/11/2017, 9:44:26,   4,   4,   2.997310E+01
         6, 8/11/2017, 9:44:27,   0,   0,   2.943960E+01
         7, 8/11/2017, 9:44:33,   2,   2,   2.943880E+01
         8, 8/11/2017, 9:44:35,   6,   6,   2.862050E+01
         9, 8/11/2017, 9:44:40,   4,   4,   2.362580E+01
        10, 8/11/2017, 9:44:41,   4,   6,   2.300980E+01
        11, 8/11/2017, 9:44:44,   4,   7,   2.025220E+01
        12, 8/11/2017, 9:44:46,   4,   5,   1.942180E+01
        13, 8/11/2017, 9:44:48,   4,   4,   1.889540E+01
        14, 8/11/2017, 9:44:51,   6,   6,   1.765090E+01
        15, 8/11/2017, 9:45:04,   4,   5,   6.557101E+00
        16, 8/11/2017, 9:45:06,   0,   1,   6.219702E+00
        17, 8/11/2017, 9:46:18,   0,   2,   2.782630E+01
        18, 8/11/2017, 9:46:23,   0,   1,   2.578900E+01
        19, 8/11/2017, 9:46:26,   0,   5,   2.640040E+01
        20, 8/11/2017, 9:46:41,   0,   1,   2.330820E+01
        21, 8/11/2017, 9:46:51,   0,   2,   2.606400E+01
        22, 8/11/2017, 9:46:52,   0,   1,   2.551670E+01
        23, 8/11/2017, 9:47:07,   0,   0,   3.001641E+01





